"","Prolific_ID","trial_type_label","test_part","skew","rt_trial","P_A1","O_A1","P_A2","O_A2","P_B1","O_B1","P_B2","O_B2","EVD","SDD","category","true_response"
"96","5c8123c4366cb20001280842","test","sc","lr",2258,0.81,49,0.19,9,0.17,44,0.83,29,9.85,10.0575442054485,"simple vs. complex","f"
"97","5c8123c4366cb20001280842","test","ss","rl",7344,0.18,170,0.82,94,0.12,38,0.88,95,19.52,10.6754389601238,"simple vs. simple","f"
"98","5c8123c4366cb20001280842","test","cc","rl",7326,0.83,130,0.17,187,0.96,153,0.04,70,-9.99000000000001,5.14645767485166,"complex vs. complex","j"
"99","5c8123c4366cb20001280842","test","ss","lr",5075,0.88,87,0.12,11,0.93,65,0.07,104,10.15,14.7463431087983,"simple vs. simple","j"
"100","5c8123c4366cb20001280842","test","cc","rl",7994,0.81,108,0.19,193,0.17,63,0.83,125,9.69,10.0563433540549,"complex vs. complex","j"
"101","5c8123c4366cb20001280842","test","cc","ns",5152,0.45,182,0.55,39,0.4,188,0.6,63,-9.64999999999999,9.90435818354387,"complex vs. complex","j"
"102","5c8123c4366cb20001280842","test","ss","rl",6251,0.91,97,0.09,134,0.14,87,0.86,103,-0.430000000000007,5.03693263240091,"simple vs. simple","j"
"103","5c8123c4366cb20001280842","test","ss","lr",6539,0.83,91,0.17,46,0.07,108,0.93,60,19.99,4.6564191846075,"simple vs. simple","j"
"104","5c8123c4366cb20001280842","test","cc","rl",6561,0.83,115,0.17,197,0.07,17,0.93,116,19.87,5.54233492452575,"complex vs. complex","f"
"105","5c8123c4366cb20001280842","test","ss","rl",4591,0.86,72,0.14,199,0.16,19,0.84,128,-20.78,4.10729293514466,"simple vs. simple","f"
"106","5c8123c4366cb20001280842","test","cc","rl",7478,0.18,170,0.82,94,0.12,38,0.88,95,19.52,10.6754389601238,"complex vs. complex","j"
"107","5c8123c4366cb20001280842","test","cc","cn",5762,0.91,52,0.09,18,0.14,62,0.86,47,20,0,"complex vs. complex","f"
"108","5c8123c4366cb20001280842","test","cc","lr",3129,0.87,97,0.13,38,0.84,87,0.16,100,0.25,15.0760239077902,"complex vs. complex","j"
"109","5c8123c4366cb20001280842","test","ss","lr",4209,0.91,52,0.09,18,0.14,62,0.86,47,-0.160000000000004,4.5253743825836,"simple vs. simple","j"
"110","5c8123c4366cb20001280842","test","ss","lr",6903,0.18,10,0.82,49,0.19,52,0.81,27,10.23,5.17578809262635,"simple vs. simple","j"
"111","5c8123c4366cb20001280842","test","cc","rl",9253,0.12,163,0.88,58,0.17,7,0.83,59,20.44,14.5880557296384,"complex vs. complex","f"
"112","5c8123c4366cb20001280842","test","cc","cn",5624,0.86,79,0.14,27,0.89,69,0.11,96,-20,0,"complex vs. complex","j"
"113","5c8123c4366cb20001280842","test","ss","lr",5264,0.86,79,0.14,27,0.89,69,0.11,96,-0.25,9.59530219834588,"simple vs. simple","j"
"114","5c8123c4366cb20001280842","test","ss","cn",6651,0.91,52,0.09,18,0.14,62,0.86,47,20,0,"simple vs. simple","f"
"115","5c8123c4366cb20001280842","test","ss","ns",7789,0.62,47,0.38,155,0.44,121,0.56,26,20.24,5.26497609512484,"simple vs. simple","f"
